text,intent,target_category,safe_response_template,requires_medical_disclaimer
Do you have Vitamin D3 Softgels?,product_search,Vitamins & Minerals,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like BoneCare Calcium Plus Tablets,product_search,Vitamins & Minerals,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Magnesium Capsules?,product_search,Vitamins & Minerals,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like MineralPlus Iron Support Tablets,product_search,Vitamins & Minerals,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Zinc Wellness Lozenges?,product_search,Vitamins & Minerals,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like EnergyWell B-Complex Tablets,product_search,Vitamins & Minerals,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Kids Multivitamin Gummies?,product_search,Vitamins & Minerals,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like HeartWise Omega-3 Softgels,product_search,Vitamins & Minerals,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Baby Gentle Wash?,product_search,Mother & Baby,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like TinyCare Baby Moisture Lotion,product_search,Mother & Baby,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Diaper Rash Cream?,product_search,Mother & Baby,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like CareBaby Infant Nasal Aspirator,product_search,Mother & Baby,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Baby Wipes Sensitive?,product_search,Mother & Baby,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like MamaCare Nursing Pads Pack,product_search,Mother & Baby,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Baby Thermometer?,product_search,Mother & Baby,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like CareBaby Bottle Cleaning Brush,product_search,Mother & Baby,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Toddler Toothbrush Set?,product_search,Mother & Baby,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like MamaCare Baby Care Starter Kit,product_search,Mother & Baby,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Antibacterial Hand Gel?,product_search,Personal Care,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like CleanGuard Gentle Hand Wash,product_search,Personal Care,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Cotton Buds Pack?,product_search,Personal Care,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like FreshEase Body Cleansing Wipes,product_search,Personal Care,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Deodorant Roll-On?,product_search,Personal Care,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like SmoothCare Sensitive Shaving Gel,product_search,Personal Care,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Disposable Face Masks?,product_search,Personal Care,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like PureCare Moisturizing Body Wash,product_search,Personal Care,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Travel Hygiene Kit?,product_search,Personal Care,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like SoftHands Hand Cream Tube,product_search,Personal Care,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Digital Blood Pressure Monitor?,product_search,Medical Devices,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like HomeMed Pulse Oximeter,product_search,Medical Devices,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Digital Thermometer?,product_search,Medical Devices,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like FlexiCare Reusable Hot Cold Pack,product_search,Medical Devices,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Adjustable Wrist Support?,product_search,Medical Devices,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like BreatheWell Nebulizer Accessory Kit,product_search,Medical Devices,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Weekly Pill Organizer?,product_search,Medical Devices,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like MobilityCare Walking Cane Grip,product_search,Medical Devices,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Digital Weighing Scale?,product_search,Medical Devices,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like CareTools First Response Timer,product_search,Medical Devices,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Adhesive Bandage Pack?,product_search,First Aid,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like FirstCare Sterile Gauze Pads,product_search,First Aid,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Medical Tape Roll?,product_search,First Aid,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like CleanGuard Antiseptic Wipes,product_search,First Aid,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Elastic Bandage Wrap?,product_search,First Aid,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like FirstCare Instant Cold Pack,product_search,First Aid,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Tweezers and Scissors Set?,product_search,First Aid,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like CoolAid Burn Gel Sachets,product_search,First Aid,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have First Aid Box?,product_search,First Aid,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like FirstCare Complete First Aid Kit,product_search,First Aid,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Daily Moisturizing Cream?,product_search,Skincare,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like DermaSoft Gentle Facial Cleanser,product_search,Skincare,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have SPF 50 Sunscreen Lotion?,product_search,Skincare,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like NatureSkin Aloe Vera Gel,product_search,Skincare,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Lip Balm SPF?,product_search,Skincare,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like DermaCalm Sensitive Skin Lotion,product_search,Skincare,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Hydrating Face Mist?,product_search,Skincare,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like DermaCalm Barrier Repair Cream,product_search,Skincare,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Hand Repair Balm?,product_search,Skincare,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like DermaSoft Skincare Travel Set,product_search,Skincare,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Soft Toothbrush Duo?,product_search,Oral Care,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like SmileCare Fluoride Toothpaste,product_search,Oral Care,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Alcohol-Free Mouthwash?,product_search,Oral Care,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like FreshMouth Dental Floss Picks,product_search,Oral Care,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Sensitive Toothpaste?,product_search,Oral Care,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like SmileCare Tongue Cleaner,product_search,Oral Care,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Kids Toothpaste?,product_search,Oral Care,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like CareDental Orthodontic Wax,product_search,Oral Care,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Denture Cleaning Tablets?,product_search,Oral Care,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like FreshMouth Oral Care Travel Kit,product_search,Oral Care,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Protein Shake Vanilla?,product_search,Nutrition & Health Food,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like NutriLife High Fiber Snack Bars,product_search,Nutrition & Health Food,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Low Sugar Granola?,product_search,Nutrition & Health Food,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like DailyFuel Meal Replacement Powder,product_search,Nutrition & Health Food,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Herbal Wellness Tea?,product_search,Nutrition & Health Food,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like HydraDay Electrolyte Sports Drink,product_search,Nutrition & Health Food,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Oat Nutrition Drink?,product_search,Nutrition & Health Food,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like DailyFuel Mixed Nuts Portion Pack,product_search,Nutrition & Health Food,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Chia Seed Pouch?,product_search,Nutrition & Health Food,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like PharmaCare Nutrition Starter Bundle,product_search,Nutrition & Health Food,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
What category should I browse for non-prescription cold or allergy comfort?,category_recommendation,OTC Medicine,"Based on your general need, you may want to browse OTC Medicine products. This is only general product guidance and is not medical advice.",true
"What category should I browse for probiotics, fiber, or hydration support?",category_recommendation,Digestive Health,"Based on your general need, you may want to browse Digestive Health products. This is only general product guidance and is not medical advice.",true
What category should I browse for daily supplement routines?,category_recommendation,Vitamins & Minerals,"Based on your general need, you may want to browse Vitamins & Minerals products. This is only general product guidance and is not medical advice.",true
"What category should I browse for baby bath, wipes, or caregiver supplies?",category_recommendation,Mother & Baby,"Based on your general need, you may want to browse Mother & Baby products. This is only general product guidance and is not medical advice.",true
What category should I browse for hand hygiene and daily care?,category_recommendation,Personal Care,"Based on your general need, you may want to browse Personal Care products. This is only general product guidance and is not medical advice.",true
What category should I browse for home-use monitoring tools?,category_recommendation,Medical Devices,"Based on your general need, you may want to browse Medical Devices products. This is only general product guidance and is not medical advice.",true
What category should I browse for minor cut and scrape supplies?,category_recommendation,First Aid,"Based on your general need, you may want to browse First Aid products. This is only general product guidance and is not medical advice.",true
"What category should I browse for moisturizer, cleanser, or sunscreen?",category_recommendation,Skincare,"Based on your general need, you may want to browse Skincare products. This is only general product guidance and is not medical advice.",true
"What category should I browse for toothbrush, toothpaste, or floss?",category_recommendation,Oral Care,"Based on your general need, you may want to browse Oral Care products. This is only general product guidance and is not medical advice.",true
What category should I browse for nutrition drinks or snack products?,category_recommendation,Nutrition & Health Food,"Based on your general need, you may want to browse Nutrition & Health Food products. This is only general product guidance and is not medical advice.",true
What category should I browse for non-prescription cold or allergy comfort?,category_recommendation,OTC Medicine,"Based on your general need, you may want to browse OTC Medicine products. This is only general product guidance and is not medical advice.",true
"What category should I browse for probiotics, fiber, or hydration support?",category_recommendation,Digestive Health,"Based on your general need, you may want to browse Digestive Health products. This is only general product guidance and is not medical advice.",true
What category should I browse for daily supplement routines?,category_recommendation,Vitamins & Minerals,"Based on your general need, you may want to browse Vitamins & Minerals products. This is only general product guidance and is not medical advice.",true
"What category should I browse for baby bath, wipes, or caregiver supplies?",category_recommendation,Mother & Baby,"Based on your general need, you may want to browse Mother & Baby products. This is only general product guidance and is not medical advice.",true
What category should I browse for hand hygiene and daily care?,category_recommendation,Personal Care,"Based on your general need, you may want to browse Personal Care products. This is only general product guidance and is not medical advice.",true
What category should I browse for home-use monitoring tools?,category_recommendation,Medical Devices,"Based on your general need, you may want to browse Medical Devices products. This is only general product guidance and is not medical advice.",true
What category should I browse for minor cut and scrape supplies?,category_recommendation,First Aid,"Based on your general need, you may want to browse First Aid products. This is only general product guidance and is not medical advice.",true
"What category should I browse for moisturizer, cleanser, or sunscreen?",category_recommendation,Skincare,"Based on your general need, you may want to browse Skincare products. This is only general product guidance and is not medical advice.",true
"What category should I browse for toothbrush, toothpaste, or floss?",category_recommendation,Oral Care,"Based on your general need, you may want to browse Oral Care products. This is only general product guidance and is not medical advice.",true
What category should I browse for nutrition drinks or snack products?,category_recommendation,Nutrition & Health Food,"Based on your general need, you may want to browse Nutrition & Health Food products. This is only general product guidance and is not medical advice.",true
What category should I browse for non-prescription cold or allergy comfort?,category_recommendation,OTC Medicine,"Based on your general need, you may want to browse OTC Medicine products. This is only general product guidance and is not medical advice.",true
"What category should I browse for probiotics, fiber, or hydration support?",category_recommendation,Digestive Health,"Based on your general need, you may want to browse Digestive Health products. This is only general product guidance and is not medical advice.",true
What category should I browse for daily supplement routines?,category_recommendation,Vitamins & Minerals,"Based on your general need, you may want to browse Vitamins & Minerals products. This is only general product guidance and is not medical advice.",true
"What category should I browse for baby bath, wipes, or caregiver supplies?",category_recommendation,Mother & Baby,"Based on your general need, you may want to browse Mother & Baby products. This is only general product guidance and is not medical advice.",true
What category should I browse for hand hygiene and daily care?,category_recommendation,Personal Care,"Based on your general need, you may want to browse Personal Care products. This is only general product guidance and is not medical advice.",true
What category should I browse for home-use monitoring tools?,category_recommendation,Medical Devices,"Based on your general need, you may want to browse Medical Devices products. This is only general product guidance and is not medical advice.",true
What category should I browse for minor cut and scrape supplies?,category_recommendation,First Aid,"Based on your general need, you may want to browse First Aid products. This is only general product guidance and is not medical advice.",true
"What category should I browse for moisturizer, cleanser, or sunscreen?",category_recommendation,Skincare,"Based on your general need, you may want to browse Skincare products. This is only general product guidance and is not medical advice.",true
"What category should I browse for toothbrush, toothpaste, or floss?",category_recommendation,Oral Care,"Based on your general need, you may want to browse Oral Care products. This is only general product guidance and is not medical advice.",true
What category should I browse for nutrition drinks or snack products?,category_recommendation,Nutrition & Health Food,"Based on your general need, you may want to browse Nutrition & Health Food products. This is only general product guidance and is not medical advice.",true
What category should I browse for non-prescription cold or allergy comfort?,category_recommendation,OTC Medicine,"Based on your general need, you may want to browse OTC Medicine products. This is only general product guidance and is not medical advice.",true
"What category should I browse for probiotics, fiber, or hydration support?",category_recommendation,Digestive Health,"Based on your general need, you may want to browse Digestive Health products. This is only general product guidance and is not medical advice.",true
What category should I browse for daily supplement routines?,category_recommendation,Vitamins & Minerals,"Based on your general need, you may want to browse Vitamins & Minerals products. This is only general product guidance and is not medical advice.",true
"What category should I browse for baby bath, wipes, or caregiver supplies?",category_recommendation,Mother & Baby,"Based on your general need, you may want to browse Mother & Baby products. This is only general product guidance and is not medical advice.",true
What category should I browse for hand hygiene and daily care?,category_recommendation,Personal Care,"Based on your general need, you may want to browse Personal Care products. This is only general product guidance and is not medical advice.",true
What category should I browse for home-use monitoring tools?,category_recommendation,Medical Devices,"Based on your general need, you may want to browse Medical Devices products. This is only general product guidance and is not medical advice.",true
What category should I browse for minor cut and scrape supplies?,category_recommendation,First Aid,"Based on your general need, you may want to browse First Aid products. This is only general product guidance and is not medical advice.",true
"What category should I browse for moisturizer, cleanser, or sunscreen?",category_recommendation,Skincare,"Based on your general need, you may want to browse Skincare products. This is only general product guidance and is not medical advice.",true
"What category should I browse for toothbrush, toothpaste, or floss?",category_recommendation,Oral Care,"Based on your general need, you may want to browse Oral Care products. This is only general product guidance and is not medical advice.",true
What category should I browse for nutrition drinks or snack products?,category_recommendation,Nutrition & Health Food,"Based on your general need, you may want to browse Nutrition & Health Food products. This is only general product guidance and is not medical advice.",true
What category should I browse for non-prescription cold or allergy comfort?,category_recommendation,OTC Medicine,"Based on your general need, you may want to browse OTC Medicine products. This is only general product guidance and is not medical advice.",true
"What category should I browse for probiotics, fiber, or hydration support?",category_recommendation,Digestive Health,"Based on your general need, you may want to browse Digestive Health products. This is only general product guidance and is not medical advice.",true
What category should I browse for daily supplement routines?,category_recommendation,Vitamins & Minerals,"Based on your general need, you may want to browse Vitamins & Minerals products. This is only general product guidance and is not medical advice.",true
"What category should I browse for baby bath, wipes, or caregiver supplies?",category_recommendation,Mother & Baby,"Based on your general need, you may want to browse Mother & Baby products. This is only general product guidance and is not medical advice.",true
What category should I browse for hand hygiene and daily care?,category_recommendation,Personal Care,"Based on your general need, you may want to browse Personal Care products. This is only general product guidance and is not medical advice.",true
What category should I browse for home-use monitoring tools?,category_recommendation,Medical Devices,"Based on your general need, you may want to browse Medical Devices products. This is only general product guidance and is not medical advice.",true
What category should I browse for minor cut and scrape supplies?,category_recommendation,First Aid,"Based on your general need, you may want to browse First Aid products. This is only general product guidance and is not medical advice.",true
"What category should I browse for moisturizer, cleanser, or sunscreen?",category_recommendation,Skincare,"Based on your general need, you may want to browse Skincare products. This is only general product guidance and is not medical advice.",true
"What category should I browse for toothbrush, toothpaste, or floss?",category_recommendation,Oral Care,"Based on your general need, you may want to browse Oral Care products. This is only general product guidance and is not medical advice.",true
What category should I browse for nutrition drinks or snack products?,category_recommendation,Nutrition & Health Food,"Based on your general need, you may want to browse Nutrition & Health Food products. This is only general product guidance and is not medical advice.",true
What category should I browse for non-prescription cold or allergy comfort?,category_recommendation,OTC Medicine,"Based on your general need, you may want to browse OTC Medicine products. This is only general product guidance and is not medical advice.",true
"What category should I browse for probiotics, fiber, or hydration support?",category_recommendation,Digestive Health,"Based on your general need, you may want to browse Digestive Health products. This is only general product guidance and is not medical advice.",true
What category should I browse for daily supplement routines?,category_recommendation,Vitamins & Minerals,"Based on your general need, you may want to browse Vitamins & Minerals products. This is only general product guidance and is not medical advice.",true
"What category should I browse for baby bath, wipes, or caregiver supplies?",category_recommendation,Mother & Baby,"Based on your general need, you may want to browse Mother & Baby products. This is only general product guidance and is not medical advice.",true
What category should I browse for hand hygiene and daily care?,category_recommendation,Personal Care,"Based on your general need, you may want to browse Personal Care products. This is only general product guidance and is not medical advice.",true
What category should I browse for home-use monitoring tools?,category_recommendation,Medical Devices,"Based on your general need, you may want to browse Medical Devices products. This is only general product guidance and is not medical advice.",true
What category should I browse for minor cut and scrape supplies?,category_recommendation,First Aid,"Based on your general need, you may want to browse First Aid products. This is only general product guidance and is not medical advice.",true
"What category should I browse for moisturizer, cleanser, or sunscreen?",category_recommendation,Skincare,"Based on your general need, you may want to browse Skincare products. This is only general product guidance and is not medical advice.",true
"What category should I browse for toothbrush, toothpaste, or floss?",category_recommendation,Oral Care,"Based on your general need, you may want to browse Oral Care products. This is only general product guidance and is not medical advice.",true
What category should I browse for nutrition drinks or snack products?,category_recommendation,Nutrition & Health Food,"Based on your general need, you may want to browse Nutrition & Health Food products. This is only general product guidance and is not medical advice.",true
What category should I browse for non-prescription cold or allergy comfort?,category_recommendation,OTC Medicine,"Based on your general need, you may want to browse OTC Medicine products. This is only general product guidance and is not medical advice.",true
"What category should I browse for probiotics, fiber, or hydration support?",category_recommendation,Digestive Health,"Based on your general need, you may want to browse Digestive Health products. This is only general product guidance and is not medical advice.",true
What category should I browse for daily supplement routines?,category_recommendation,Vitamins & Minerals,"Based on your general need, you may want to browse Vitamins & Minerals products. This is only general product guidance and is not medical advice.",true
"What category should I browse for baby bath, wipes, or caregiver supplies?",category_recommendation,Mother & Baby,"Based on your general need, you may want to browse Mother & Baby products. This is only general product guidance and is not medical advice.",true
What category should I browse for hand hygiene and daily care?,category_recommendation,Personal Care,"Based on your general need, you may want to browse Personal Care products. This is only general product guidance and is not medical advice.",true
What category should I browse for home-use monitoring tools?,category_recommendation,Medical Devices,"Based on your general need, you may want to browse Medical Devices products. This is only general product guidance and is not medical advice.",true
What category should I browse for minor cut and scrape supplies?,category_recommendation,First Aid,"Based on your general need, you may want to browse First Aid products. This is only general product guidance and is not medical advice.",true
"What category should I browse for moisturizer, cleanser, or sunscreen?",category_recommendation,Skincare,"Based on your general need, you may want to browse Skincare products. This is only general product guidance and is not medical advice.",true
"What category should I browse for toothbrush, toothpaste, or floss?",category_recommendation,Oral Care,"Based on your general need, you may want to browse Oral Care products. This is only general product guidance and is not medical advice.",true
What category should I browse for nutrition drinks or snack products?,category_recommendation,Nutrition & Health Food,"Based on your general need, you may want to browse Nutrition & Health Food products. This is only general product guidance and is not medical advice.",true
What category should I browse for non-prescription cold or allergy comfort?,category_recommendation,OTC Medicine,"Based on your general need, you may want to browse OTC Medicine products. This is only general product guidance and is not medical advice.",true
"What category should I browse for probiotics, fiber, or hydration support?",category_recommendation,Digestive Health,"Based on your general need, you may want to browse Digestive Health products. This is only general product guidance and is not medical advice.",true
What category should I browse for daily supplement routines?,category_recommendation,Vitamins & Minerals,"Based on your general need, you may want to browse Vitamins & Minerals products. This is only general product guidance and is not medical advice.",true
"What category should I browse for baby bath, wipes, or caregiver supplies?",category_recommendation,Mother & Baby,"Based on your general need, you may want to browse Mother & Baby products. This is only general product guidance and is not medical advice.",true
What category should I browse for hand hygiene and daily care?,category_recommendation,Personal Care,"Based on your general need, you may want to browse Personal Care products. This is only general product guidance and is not medical advice.",true
What category should I browse for home-use monitoring tools?,category_recommendation,Medical Devices,"Based on your general need, you may want to browse Medical Devices products. This is only general product guidance and is not medical advice.",true
What category should I browse for minor cut and scrape supplies?,category_recommendation,First Aid,"Based on your general need, you may want to browse First Aid products. This is only general product guidance and is not medical advice.",true
"What category should I browse for moisturizer, cleanser, or sunscreen?",category_recommendation,Skincare,"Based on your general need, you may want to browse Skincare products. This is only general product guidance and is not medical advice.",true
"What category should I browse for toothbrush, toothpaste, or floss?",category_recommendation,Oral Care,"Based on your general need, you may want to browse Oral Care products. This is only general product guidance and is not medical advice.",true
What category should I browse for nutrition drinks or snack products?,category_recommendation,Nutrition & Health Food,"Based on your general need, you may want to browse Nutrition & Health Food products. This is only general product guidance and is not medical advice.",true
What category should I browse for non-prescription cold or allergy comfort?,category_recommendation,OTC Medicine,"Based on your general need, you may want to browse OTC Medicine products. This is only general product guidance and is not medical advice.",true
"What category should I browse for probiotics, fiber, or hydration support?",category_recommendation,Digestive Health,"Based on your general need, you may want to browse Digestive Health products. This is only general product guidance and is not medical advice.",true
What category should I browse for daily supplement routines?,category_recommendation,Vitamins & Minerals,"Based on your general need, you may want to browse Vitamins & Minerals products. This is only general product guidance and is not medical advice.",true
"What category should I browse for baby bath, wipes, or caregiver supplies?",category_recommendation,Mother & Baby,"Based on your general need, you may want to browse Mother & Baby products. This is only general product guidance and is not medical advice.",true
What category should I browse for hand hygiene and daily care?,category_recommendation,Personal Care,"Based on your general need, you may want to browse Personal Care products. This is only general product guidance and is not medical advice.",true
What category should I browse for home-use monitoring tools?,category_recommendation,Medical Devices,"Based on your general need, you may want to browse Medical Devices products. This is only general product guidance and is not medical advice.",true
What category should I browse for minor cut and scrape supplies?,category_recommendation,First Aid,"Based on your general need, you may want to browse First Aid products. This is only general product guidance and is not medical advice.",true
