text,target_category,recommended_product_ids,recommended_product_names,safe_response_template
Which catalog items fit medical devices needs,Medical Devices,51|52|53|54,Digital Blood Pressure Monitor|Pulse Oximeter|Digital Thermometer|Reusable Hot Cold Pack,"Based on your general need, you may want to browse Medical Devices products. This is only general product guidance and is not medical advice."
Recommend products from First Aid,First Aid,61|62|63|64,Adhesive Bandage Pack|Sterile Gauze Pads|Medical Tape Roll|Antiseptic Wipes,"Based on your general need, you may want to browse First Aid products. This is only general product guidance and is not medical advice."
What should I browse for first aid,First Aid,61|62|63|64,Adhesive Bandage Pack|Sterile Gauze Pads|Medical Tape Roll|Antiseptic Wipes,"Based on your general need, you may want to browse First Aid products. This is only general product guidance and is not medical advice."
Show general pharmacy products for first aid,First Aid,61|62|63|64,Adhesive Bandage Pack|Sterile Gauze Pads|Medical Tape Roll|Antiseptic Wipes,"Based on your general need, you may want to browse First Aid products. This is only general product guidance and is not medical advice."
I need safe non-prescription product ideas for first aid,First Aid,61|62|63|64,Adhesive Bandage Pack|Sterile Gauze Pads|Medical Tape Roll|Antiseptic Wipes,"Based on your general need, you may want to browse First Aid products. This is only general product guidance and is not medical advice."
Which catalog items fit first aid needs,First Aid,61|62|63|64,Adhesive Bandage Pack|Sterile Gauze Pads|Medical Tape Roll|Antiseptic Wipes,"Based on your general need, you may want to browse First Aid products. This is only general product guidance and is not medical advice."
Recommend products from Skincare,Skincare,71|72|73|74,Daily Moisturizing Cream|Gentle Facial Cleanser|SPF 50 Sunscreen Lotion|Aloe Vera Gel,"Based on your general need, you may want to browse Skincare products. This is only general product guidance and is not medical advice."
What should I browse for skincare,Skincare,71|72|73|74,Daily Moisturizing Cream|Gentle Facial Cleanser|SPF 50 Sunscreen Lotion|Aloe Vera Gel,"Based on your general need, you may want to browse Skincare products. This is only general product guidance and is not medical advice."
Show general pharmacy products for skincare,Skincare,71|72|73|74,Daily Moisturizing Cream|Gentle Facial Cleanser|SPF 50 Sunscreen Lotion|Aloe Vera Gel,"Based on your general need, you may want to browse Skincare products. This is only general product guidance and is not medical advice."
I need safe non-prescription product ideas for skincare,Skincare,71|72|73|74,Daily Moisturizing Cream|Gentle Facial Cleanser|SPF 50 Sunscreen Lotion|Aloe Vera Gel,"Based on your general need, you may want to browse Skincare products. This is only general product guidance and is not medical advice."
Which catalog items fit skincare needs,Skincare,71|72|73|74,Daily Moisturizing Cream|Gentle Facial Cleanser|SPF 50 Sunscreen Lotion|Aloe Vera Gel,"Based on your general need, you may want to browse Skincare products. This is only general product guidance and is not medical advice."
Recommend products from Oral Care,Oral Care,81|82|83|84,Soft Toothbrush Duo|Fluoride Toothpaste|Alcohol-Free Mouthwash|Dental Floss Picks,"Based on your general need, you may want to browse Oral Care products. This is only general product guidance and is not medical advice."
What should I browse for oral care,Oral Care,81|82|83|84,Soft Toothbrush Duo|Fluoride Toothpaste|Alcohol-Free Mouthwash|Dental Floss Picks,"Based on your general need, you may want to browse Oral Care products. This is only general product guidance and is not medical advice."
Show general pharmacy products for oral care,Oral Care,81|82|83|84,Soft Toothbrush Duo|Fluoride Toothpaste|Alcohol-Free Mouthwash|Dental Floss Picks,"Based on your general need, you may want to browse Oral Care products. This is only general product guidance and is not medical advice."
I need safe non-prescription product ideas for oral care,Oral Care,81|82|83|84,Soft Toothbrush Duo|Fluoride Toothpaste|Alcohol-Free Mouthwash|Dental Floss Picks,"Based on your general need, you may want to browse Oral Care products. This is only general product guidance and is not medical advice."
Which catalog items fit oral care needs,Oral Care,81|82|83|84,Soft Toothbrush Duo|Fluoride Toothpaste|Alcohol-Free Mouthwash|Dental Floss Picks,"Based on your general need, you may want to browse Oral Care products. This is only general product guidance and is not medical advice."
Recommend products from Nutrition & Health Food,Nutrition & Health Food,91|92|93|94,Protein Shake Vanilla|High Fiber Snack Bars|Low Sugar Granola|Meal Replacement Powder,"Based on your general need, you may want to browse Nutrition & Health Food products. This is only general product guidance and is not medical advice."
What should I browse for nutrition & health food,Nutrition & Health Food,91|92|93|94,Protein Shake Vanilla|High Fiber Snack Bars|Low Sugar Granola|Meal Replacement Powder,"Based on your general need, you may want to browse Nutrition & Health Food products. This is only general product guidance and is not medical advice."
Show general pharmacy products for nutrition & health food,Nutrition & Health Food,91|92|93|94,Protein Shake Vanilla|High Fiber Snack Bars|Low Sugar Granola|Meal Replacement Powder,"Based on your general need, you may want to browse Nutrition & Health Food products. This is only general product guidance and is not medical advice."
I need safe non-prescription product ideas for nutrition & health food,Nutrition & Health Food,91|92|93|94,Protein Shake Vanilla|High Fiber Snack Bars|Low Sugar Granola|Meal Replacement Powder,"Based on your general need, you may want to browse Nutrition & Health Food products. This is only general product guidance and is not medical advice."
Which catalog items fit nutrition & health food needs,Nutrition & Health Food,91|92|93|94,Protein Shake Vanilla|High Fiber Snack Bars|Low Sugar Granola|Meal Replacement Powder,"Based on your general need, you may want to browse Nutrition & Health Food products. This is only general product guidance and is not medical advice."
